market_cap,circulating_market_cap,anon_1,anon_2,net_profit_to_total_revenue,inc_revenue_year_on_year,development_expenditure,pe_ratio,pb_ratio,inc_net_profit_year_on_year,dividend_payable,roe,roa,anon_3,gross_profit_margin,anon_4,pcf_ratio,ps_ratio,monthreturn
3642.8069,3093.5427,276360855552.0,1.0652306,43.56,19.6,0.0,7.5009,1.4618,10.81,0.0,5.57,0.33,0.99593919,0.0,0.00230887,-4.6403,2.7914,0.904288640718233
1532.2838,1532.2838,100499980288.0,1.07040969,47.05,20.31,0.0,9.525,1.5699,10.45,0.0,5.08,0.33,1.00286394,0.0,0.00390088,1.9008,3.9623,0.89110953205927
12569.5322,11379.9395,1125519458304.0,1.0716389,38.95,2.46,0.0,6.9774,1.2042,1.49,0.0,5.02,0.33,0.98340455,0.0,0.00905044,12.5736,2.3978,0.981912182857529
6497.9888,2862.0422,492839108608.0,1.08034023,38.56,10.46,0.0,9.8261,1.3829,1.57,0.0,3.95,0.3,0.99435213,0.0,0.00875432,5.7238,3.5688,0.9291428141581284
18960.8125,14343.3701,1621259976704.0,1.08198378,41.1,11.39,0.0,6.8492,1.2024,1.36,0.0,4.73,0.35,0.99350637,0.0,0.00792746,7.3571,2.799,0.9906015050779075
2800.7456,2388.6216,188068921344.0,1.07016256,37.6,24.1,0.0,9.6332,1.5658,2.35,0.0,4.56,0.3,0.99963701,0.0,0.00450019,7.434,3.3803,0.9200000171382935
17250.7578,661.9624,1316262772736.0,1.08145373,41.34,10.19,0.0,7.5313,1.321,1.83,0.0,5.26,0.39,0.99259917,0.0,0.00849776,-13.8107,2.9464,0.9797101319224365
14601.6348,10453.9697,1272041177088.0,1.08625667,39.34,1.17,0.0,8.5857,1.2947,1.21,0.0,3.87,0.31,0.9962856,0.0,0.01053448,-9.7014,3.19,1.0826612373567923
3780.4159999999997,2577.9373,278749249536.0,1.06714477,33.64,10.71,0.0,9.2399,1.396,1.52,0.0,4.12,0.26,1.0005466,0.0,0.00331293,133.3951,2.9556,1.2722772573177132
2210.6904,1823.7264,136704032768.0,1.0630533000000002,27.23,28.39,0.0,10.8489,1.5282,11.38,0.0,4.21,0.25,1.00134461,0.0,0.00160406,-4.2523,2.835,1.0304207228655808
