,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
506,601888.SH,20210520,324.56,329.8,321.0,325.01,326.52,-1.51,-0.4625,75203.77,2446860.596
507,601888.SH,20210519,317.37,329.98,315.12,326.52,318.05,8.47,2.6631,73130.13,2383748.369
508,601888.SH,20210518,319.31,322.0,314.0,318.05,319.39,-1.34,-0.4195,55098.4,1744413.987
509,601888.SH,20210517,313.0,322.1,310.25,319.39,309.58,9.81,3.1688,124513.0,3972405.796
510,601888.SH,20210514,297.0,310.0,293.0,309.58,295.0,14.58,4.9424,132436.88,4032866.27
511,601888.SH,20210513,297.99,301.77,288.1,295.0,303.0,-8.0,-2.6403,98790.3,2900389.995
512,601888.SH,20210512,299.39,304.5,295.01,303.0,299.0,4.0,1.3378,61798.89,1857947.024
513,601888.SH,20210511,294.5,301.8,292.31,299.0,298.89,0.11,0.0368,62559.37,1858703.389
514,601888.SH,20210510,289.35,303.0,289.35,298.89,288.0,10.89,3.7813,87718.14,2618300.311
515,601888.SH,20210507,295.03,300.8,287.53,288.0,295.7,-7.7,-2.604,88713.86,2602939.209
516,601888.SH,20210506,319.0,319.0,295.7,295.7,311.99,-16.29,-5.2213,131523.81,3972604.983
517,601888.SH,20210430,308.08,317.88,305.0,311.99,310.32,1.67,0.5382,100350.89,3132227.992
518,601888.SH,20210429,307.22,316.1,305.0,310.32,310.0,0.32,0.1032,88524.75,2748613.798
519,601888.SH,20210428,306.67,311.49,295.0,310.0,306.98,3.02,0.9838,102716.19,3139965.249
520,601888.SH,20210427,301.55,307.85,299.02,306.98,298.44,8.54,2.8615,96834.43,2955423.133
521,601888.SH,20210426,301.0,309.89,297.3,298.44,299.29,-0.85,-0.284,112245.43,3422768.84
522,601888.SH,20210423,298.15,303.27,296.06,299.29,296.0,3.29,1.1115,106775.2,3204828.432
523,601888.SH,20210422,297.0,297.9,283.5,296.0,298.66,-2.66,-0.8906,137405.87,3986803.757
524,601888.SH,20210421,288.0,298.69,287.99,298.66,292.99,5.67,1.9352,78048.3,2307619.029
525,601888.SH,20210420,294.21,302.47,291.58,292.99,294.5,-1.51,-0.5127,106022.79,3142971.502
526,601888.SH,20210419,285.58,298.01,283.85,294.5,285.85,8.65,3.0261,110020.66,3234316.952
527,601888.SH,20210416,287.18,288.16,277.5,285.85,283.06,2.79,0.9857,93925.01,2662067.586
528,601888.SH,20210415,286.96,286.96,278.1,283.06,288.2,-5.14,-1.7835,101691.05,2864860.304
529,601888.SH,20210414,260.0,289.38,260.0,288.2,265.85,22.35,8.407,258066.1,7208830.725
530,601888.SH,20210413,292.82,302.88,265.85,265.85,295.39,-29.54,-10.0003,235380.76,6553860.063
531,601888.SH,20210412,296.01,304.59,289.0,295.39,301.6,-6.21,-2.059,146372.62,4304374.209
532,601888.SH,20210409,310.0,312.0,301.04,301.6,312.28,-10.68,-3.42,95395.39,2896177.559
533,601888.SH,20210408,307.5,315.0,305.53,312.28,311.9,0.38,0.1218,85729.67,2662657.714
534,601888.SH,20210407,315.91,316.95,307.0,311.9,317.2,-5.3,-1.6709,102518.6,3181247.677
535,601888.SH,20210406,334.98,334.98,312.67,317.2,333.5,-16.3,-4.8876,138866.91,4445332.911
536,601888.SH,20210402,321.0,337.82,320.0,333.5,321.95,11.55,3.5875,104551.59,3455129.967
537,601888.SH,20210401,308.7,321.95,306.3,321.95,306.08,15.87,5.1849,89282.75,2807005.785
538,601888.SH,20210331,316.25,317.72,301.53,306.08,317.88,-11.8,-3.7121,109446.26,3366921.055
539,601888.SH,20210330,313.0,325.38,311.11,317.88,315.85,2.03,0.6427,95228.77,3048259.092
540,601888.SH,20210329,312.97,322.88,306.68,315.85,313.43,2.42,0.7721,122946.15,3878409.089
541,601888.SH,20210326,300.87,314.14,299.33,313.43,299.0,14.43,4.8261,116455.34,3588654.788
542,601888.SH,20210325,288.1,299.3,284.06,299.0,295.04,3.96,1.3422,101739.26,2959680.627
543,601888.SH,20210324,297.0,303.0,292.6,295.04,300.02,-4.98,-1.6599,84906.33,2528291.225
544,601888.SH,20210323,315.0,315.1,291.01,300.02,311.65,-11.63,-3.7318,117642.77,3528611.968
545,601888.SH,20210322,306.0,318.0,301.88,311.65,306.56,5.09,1.6604,98851.22,3061244.918
546,601888.SH,20210319,305.0,322.6,303.32,306.56,312.7,-6.14,-1.9635,124535.59,3877645.766
547,601888.SH,20210318,313.0,320.25,308.8,312.7,308.07,4.63,1.5029,116849.27,3660964.98
548,601888.SH,20210317,292.95,309.79,287.11,308.07,296.57,11.5,3.8777,105216.73,3180866.761
549,601888.SH,20210316,299.0,301.88,285.62,296.57,297.8,-1.23,-0.413,105408.3,3094994.03
550,601888.SH,20210315,303.86,309.0,290.5,297.8,309.41,-11.61,-3.7523,125917.54,3756021.126
551,601888.SH,20210312,306.3,314.94,303.01,309.41,301.78,7.63,2.5283,140596.87,4347307.56
552,601888.SH,20210311,299.0,307.28,295.05,301.78,299.62,2.16,0.7209,121648.34,3675489.474
553,601888.SH,20210310,291.0,304.88,290.01,299.62,282.29,17.33,6.1391,169336.09,5057281.953
554,601888.SH,20210309,280.0,295.3,269.9,282.29,278.99,3.3,1.1828,211445.96,5967938.721
555,601888.SH,20210308,304.9,307.54,276.0,278.99,305.88,-26.89,-8.791,212973.72,6166108.097
556,601888.SH,20210305,299.8,312.47,295.0,305.88,309.63,-3.75,-1.2111,109017.58,3321489.084
557,601888.SH,20210304,317.94,317.94,300.87,309.63,324.5,-14.87,-4.5824,168136.34,5158625.436
558,601888.SH,20210303,314.8,328.71,312.0,324.5,316.1,8.4,2.6574,105627.23,3393191.026
559,601888.SH,20210302,333.0,334.3,308.85,316.1,324.56,-8.46,-2.6066,161736.76,5186296.79
560,601888.SH,20210301,314.96,326.8,314.8,324.56,307.91,16.65,5.4074,141863.12,4568370.025
561,601888.SH,20210226,306.0,314.65,301.0,307.91,319.1,-11.19,-3.5067,159713.08,4907611.708
562,601888.SH,20210225,322.0,326.88,313.53,319.1,314.63,4.47,1.4207,134180.28,4302677.014
563,601888.SH,20210224,335.99,339.6,311.3,314.63,332.78,-18.15,-5.4541,189563.82,6062374.902
564,601888.SH,20210223,329.88,343.9,327.8,332.78,339.0,-6.22,-1.8348,160342.1,5351670.901
565,601888.SH,20210222,378.98,379.0,338.76,339.0,371.9,-32.9,-8.8465,218115.17,7642625.077
566,601888.SH,20210219,379.0,387.56,355.11,371.9,379.9,-8.0,-2.1058,144168.8,5314429.469
567,601888.SH,20210218,395.66,403.78,372.0,379.9,387.86,-7.96,-2.0523,180949.53,7020478.713
568,601888.SH,20210210,358.0,387.86,356.06,387.86,359.73,28.13,7.8198,116169.04,4374248.841
569,601888.SH,20210209,361.28,363.18,349.04,359.73,357.99,1.74,0.486,97515.13,3477865.598
570,601888.SH,20210208,347.0,362.0,343.2,357.99,346.95,11.04,3.182,116739.65,4138020.636
571,601888.SH,20210205,335.08,353.8,333.0,346.95,328.94,18.01,5.4752,137600.66,4763194.483
572,601888.SH,20210204,335.48,341.4,321.35,328.94,340.98,-12.04,-3.531,134351.47,4447164.474
573,601888.SH,20210203,330.68,348.88,328.0,340.98,331.01,9.97,3.012,151614.44,5170358.0
574,601888.SH,20210202,308.4,333.3,301.11,331.01,306.0,25.01,8.1732,181853.74,5839697.786
575,601888.SH,20210201,307.9,315.87,298.0,306.0,294.0,12.0,4.0816,203642.09,6250768.198
576,601888.SH,20210129,292.9,300.88,290.01,294.0,287.0,7.0,2.439,134043.85,3954648.924
577,601888.SH,20210128,289.57,295.15,285.6,287.0,297.0,-10.0,-3.367,90007.55,2608105.507
578,601888.SH,20210127,299.1,299.1,283.03,297.0,297.98,-0.98,-0.3289,132331.97,3844437.373
579,601888.SH,20210126,301.55,305.79,293.92,297.98,308.0,-10.02,-3.2532,133391.69,3993548.612
580,601888.SH,20210125,288.01,311.0,288.01,308.0,283.0,25.0,8.8339,238161.36,7181651.412
581,601888.SH,20210122,272.03,285.0,270.1,283.0,272.0,11.0,4.0441,181720.16,5103052.34
582,601888.SH,20210121,271.49,275.98,263.0,272.0,272.94,-0.94,-0.3444,196954.82,5298221.443
583,601888.SH,20210120,270.27,274.99,263.0,272.94,268.15,4.79,1.7863,140385.71,3800141.223
584,601888.SH,20210119,277.11,281.93,268.0,268.15,274.2,-6.05,-2.2064,135251.47,3693985.646
585,601888.SH,20210118,278.22,279.0,268.0,274.2,280.01,-5.81,-2.0749,173566.24,4748017.549
586,601888.SH,20210115,279.49,286.7,272.5,280.01,280.55,-0.54,-0.1925,151424.61,4237712.893
587,601888.SH,20210114,293.56,294.34,276.68,280.55,299.99,-19.44,-6.4802,240305.7,6809999.499
588,601888.SH,20210113,318.0,319.0,292.6,299.99,319.1,-19.11,-5.9887,181165.75,5483084.018
589,601888.SH,20210112,295.95,321.86,295.59,319.1,298.4,20.7,6.937,124107.66,3857765.101
590,601888.SH,20210111,290.0,306.08,284.1,298.4,291.0,7.4,2.543,170500.41,5065001.16
